Country Name,No of Tendors 
Austria,118443
Belgium,102578
Bulgaria,182284
Croatia,258267
Cyprus,9462
Czech Republic,271831
Denmark,50251
Estonia,113802
EU Institutions,181555
Finland,65276
France,2.8 Million
Georgia,359062
Germany,537694
Greece,61360
Hungary,196028
Iceland,2911
Ireland,134814
Italy,14.0 Million
Latvia,150619
Lithuania,192941
Luxembourg,9219
Malta,8384
Netherlands,128042
Norway,267710
Poland,2.9 Million
Portugal,1.4 Million
Romania,20.5 Million
Slovakia,456309
Slovenia,136760
Spain,1.9 Million
Sweden,126084
Switzerland,116322
United Kingdom,494392
